1,2,3
1,4,2
2,4,5
4,6,5
5,6,7
6,8,7
7,8,9
8,10,9
9,10,11
10,12,11
13,14,15
13,16,14
14,16,3
16,17,3
3,17,1
1,17,4
4,17,18
4,18,6
6,18,19
6,19,8
8,19,20
8,20,10
10,20,21
10,21,12
12,21,22
22,23,12
12,23,24
23,25,24
26,27,28
26,29,27
27,29,15
29,30,15
15,30,13
13,30,16
16,30,31
16,31,17
17,31,32
17,32,18
18,32,33
18,33,19
19,33,34
19,34,20
20,34,35
20,35,21
21,35,36
21,36,22
22,36,37
22,37,23
23,37,38
23,38,25
25,38,39
39,40,25
25,40,41
40,42,41
43,28,44
43,45,28
28,45,26
26,45,29
29,45,46
29,46,30
30,46,47
30,47,31
31,47,48
31,48,32
32,48,49
32,49,33
33,49,50
33,50,34
34,50,51
34,51,35
35,51,52
35,52,36
36,52,53
36,53,37
37,53,54
37,54,38
38,54,55
38,55,39
39,55,56
39,56,40
40,56,57
40,57,42
42,57,58
58,59,42
60,44,61
60,62,44
44,62,43
43,62,45
45,62,63
45,63,46
46,63,64
46,64,47
47,64,65
47,65,48
48,65,66
48,66,49
49,66,67
49,67,50
53,52,68
53,68,54
54,68,69
54,69,55
55,69,70
55,70,56
56,70,71
56,71,57
57,71,72
57,72,58
58,72,73
58,73,59
59,73,74
74,75,59
60,61,76
60,76,62
62,76,77
62,77,63
73,72,78
73,78,74
74,78,79
74,79,75
80,81,82
80,83,81
81,83,84
83,85,84
84,85,86
85,87,86
86,87,88
87,89,88
88,89,90
89,91,90
90,91,92
91,93,92
80,82,94
80,94,83
83,94,95
83,95,85
85,95,96
85,96,87
87,96,97
87,97,89
89,97,98
89,98,91
91,98,99
91,99,93
3,2,100
2,5,100
100,5,101
5,7,101
101,7,102
7,9,102
102,9,103
9,11,103
103,11,104
11,12,104
15,14,105
105,14,106
14,3,106
106,3,107
107,3,100
104,12,108
12,24,108
108,24,109
24,25,109
109,25,110
28,27,111
27,15,111
111,15,105
25,41,110
110,41,112
41,42,112
44,28,113
113,28,114
114,28,111
112,42,115
42,59,115
115,59,116
61,44,117
117,44,113
50,67,118
50,118,51
51,118,119
51,119,52
52,119,120
68,52,120
59,75,116
116,75,121
122,117,123
61,117,76
76,117,122
63,77,124
63,124,64
64,124,125
64,125,65
65,125,126
65,126,66
66,126,127
66,127,67
67,127,128
67,128,118
118,128,129
118,129,119
119,129,130
119,130,120
120,130,131
120,131,68
68,131,132
68,132,69
69,132,133
69,133,70
70,133,134
70,134,71
71,134,135
71,135,72
72,135,136
78,72,136
75,79,137
75,137,121
137,138,121
122,123,139
139,123,140
122,139,76
76,139,141
76,141,77
77,141,142
77,142,124
124,142,143
124,143,125
125,143,144
125,144,126
126,144,145
126,145,127
127,145,146
127,146,128
128,146,147
128,147,129
129,147,148
129,148,130
130,148,149
130,149,131
131,149,150
131,150,132
132,150,151
132,151,133
133,151,152
133,152,134
134,152,153
134,153,135
135,153,154
135,154,136
136,154,155
136,155,78
78,155,156
78,156,79
79,156,157
79,157,137
137,157,158
137,158,138
138,158,159
139,140,160
139,160,141
141,160,161
141,161,142
142,161,162
142,162,143
143,162,163
143,163,144
144,163,164
144,164,145
145,164,165
145,165,146
146,165,81
146,81,147
147,81,84
147,84,148
148,84,86
148,86,149
149,86,88
149,88,150
150,88,90
150,90,151
151,90,92
151,92,152
152,92,166
152,166,153
153,166,167
153,167,154
154,167,168
154,168,155
155,168,169
155,169,156
156,169,170
156,170,157
157,170,171
157,171,158
158,171,172
158,172,159
161,160,173
161,173,162
162,173,174
162,174,163
163,174,175
163,175,164
164,175,176
164,176,165
165,176,82
82,81,165
92,93,166
166,93,167
167,93,177
167,177,168
168,177,178
168,178,169
169,178,179
169,179,170
170,179,180
170,180,171
171,180,181
171,181,172
174,173,182
174,182,175
175,182,183
175,183,176
176,183,184
176,184,82
82,184,185
94,82,185
94,185,186
94,186,95
95,186,187
95,187,96
96,187,188
96,188,97
97,188,189
97,189,98
98,189,190
98,190,99
99,190,191
99,191,93
93,191,192
93,192,177
177,192,193
177,193,178
178,193,194
178,194,179
179,194,195
179,195,180
180,195,196
180,196,181
183,182,197
197,182,198
183,197,184
184,197,199
184,199,185
194,193,200
194,200,195
195,200,201
195,201,196
196,201,202
197,198,203
197,203,199
201,200,204
201,204,202
100,101,205
101,102,205
205,102,206
102,103,206
105,106,207
106,107,207
207,107,208
107,100,208
208,100,209
209,100,205
206,103,210
103,104,210
210,104,211
104,108,211
211,108,212
108,109,212
212,109,213
109,110,213
111,105,214
214,105,215
215,105,207
213,110,216
110,112,216
216,112,217
113,114,218
114,111,218
218,111,214
112,115,217
217,115,219
115,116,219
117,113,220
220,113,218
219,116,221
116,121,221
123,117,222
222,117,220
221,121,223
121,138,223
140,123,224
224,123,222
159,225,138
138,225,223
140,224,160
160,224,226
172,227,159
159,227,225
160,226,173
173,226,228
181,229,172
172,229,227
173,228,182
182,228,230
185,231,186
186,231,232
186,232,187
187,232,233
187,233,188
188,233,234
188,234,189
189,234,235
189,235,190
190,235,236
190,236,191
191,236,237
191,237,192
192,237,238
192,238,193
193,238,239
181,196,240
181,240,229
182,230,241
198,182,241
199,242,185
185,242,231
193,239,200
200,239,243
202,244,196
