1,2,3
1,4,2
2,4,5
4,6,5
7,8,9
7,10,8
8,10,11
10,12,11
1,3,13
13,3,14
1,13,4
4,13,15
4,15,6
6,15,16
7,9,17
17,9,18
7,17,10
10,17,19
10,19,12
12,19,20
21,14,22
21,23,14
13,14,23
13,23,15
15,23,24
15,24,16
17,18,25
17,25,19
19,25,26
19,26,20
27,20,26
27,28,20
29,22,30
29,31,22
21,22,31
21,31,23
27,26,32
27,32,28
33,28,32
33,34,28
29,30,35
29,35,31
33,32,36
33,36,34
3,2,37
37,2,38
2,5,38
38,5,39
5,6,39
39,6,40
9,8,41
41,8,42
8,11,42
42,11,43
11,12,43
43,12,44
14,3,45
45,3,37
6,16,40
16,46,40
18,41,46
18,9,41
20,47,12
12,47,44
22,14,48
48,14,45
14,23,45
45,23,14
16,24,49
16,49,46
46,49,50
18,46,51
51,46,50
25,18,51
20,26,47
47,26,20
20,28,47
47,28,52
30,22,53
22,31,53
22,48,31
31,48,53
23,31,54
23,54,24
24,54,55
24,55,49
49,55,56
49,56,50
50,56,57
57,58,50
50,58,51
51,58,25
25,58,59
25,59,26
26,59,60
32,26,60
28,32,61
28,61,52
32,28,61
28,34,61
30,53,35
35,53,62
35,53,31
35,63,53
53,63,31
31,63,54
54,63,64
54,64,55
55,64,65
55,65,56
56,65,66
56,66,57
57,66,67
57,67,58
58,67,68
58,68,59
59,68,69
59,69,60
60,69,70
60,70,32
32,70,71
32,61,36
32,71,61
61,71,36
36,61,34
36,72,61
73,74,75
73,76,74
74,76,62
76,77,62
62,77,35
35,77,63
63,77,78
63,78,64
64,78,79
64,79,65
70,69,80
70,80,71
71,80,81
71,81,36
36,81,82
36,82,72
72,82,83
83,84,72
73,75,85
73,85,76
76,85,86
76,86,77
77,86,87
77,87,78
81,80,88
81,88,82
82,88,89
82,89,83
83,89,90
83,90,84
84,90,91
92,85,93
92,94,85
86,85,94
86,94,87
90,89,95
90,95,91
96,91,95
96,97,91
98,93,99
98,100,93
92,93,100
92,100,94
96,95,101
96,101,97
102,97,101
102,103,97
104,99,105
104,106,99
98,99,106
98,106,100
102,101,107
102,107,103
104,105,108
104,108,106
37,38,109
109,38,110
38,39,110
110,39,111
39,40,111
111,40,112
41,42,113
113,42,114
42,43,114
114,43,115
43,44,115
115,44,116
45,109,117
45,37,109
40,46,112
112,46,118
46,41,118
118,41,113
44,47,116
47,119,116
48,117,120
48,45,117
50,121,46
46,121,118
50,46,121
121,46,118
47,52,119
52,122,119
48,120,53
53,120,123
52,61,122
122,61,124
62,53,125
125,53,123
61,72,126
61,126,124
75,74,127
74,62,127
127,62,125
65,79,128
65,128,66
66,128,129
66,129,67
67,129,130
67,130,68
68,130,131
68,131,69
69,131,132
80,69,132
72,84,126
126,84,133
75,127,85
85,127,134
78,87,135
78,135,79
79,135,136
79,136,128
128,136,137
128,137,129
129,137,138
129,138,130
130,138,139
130,139,131
131,139,140
131,140,132
132,140,141
132,141,80
80,141,142
88,80,142
91,143,84
84,143,133
93,85,144
144,85,134
85,94,134
134,94,85
87,94,145
87,145,135
135,145,146
135,146,136
136,146,147
136,147,137
142,141,148
142,148,88
88,148,149
88,149,89
89,149,150
95,89,150
91,95,143
143,95,91
91,97,143
143,97,151
99,93,152
152,93,144
93,100,144
144,100,93
94,100,153
94,153,145
145,153,154
145,154,146
150,149,155
150,155,95
95,155,156
101,95,156
97,101,151
151,101,97
97,103,151
151,103,157
105,99,158
99,106,158
99,152,106
106,152,158
100,106,159
100,159,153
153,159,160
153,160,154
156,155,161
156,161,101
101,161,162
107,101,162
103,107,163
103,163,157
105,158,108
108,158,164
108,158,106
108,165,158
106,158,165
106,165,159
107,162,166
107,166,163
167,163,166
167,168,163
169,164,170
169,171,164
108,164,171
108,171,165
167,166,172
167,172,168
169,170,173
169,173,171
109,174,175
109,110,176
109,176,174
110,111,176
176,111,177
111,112,177
177,112,178
113,114,179
179,114,180
114,115,180
180,115,181
115,116,181
181,116,182
116,183,182
117,109,184
184,109,175
112,118,178
178,118,185
118,113,185
185,113,179
116,119,186
116,186,183
120,117,187
187,117,184
121,188,118
118,188,185
121,118,188
188,118,185
186,119,189
119,122,189
123,120,190
190,120,187
124,191,122
122,191,189
125,123,192
192,123,190
126,193,124
124,193,191
127,125,194
194,125,192
193,126,195
126,133,195
134,127,196
196,127,194
143,197,133
133,197,195
144,134,198
198,134,196
137,147,199
137,199,138
138,199,200
138,200,139
139,200,201
139,201,140
140,201,202
140,202,141
141,202,203
148,141,203
197,143,204
143,151,204
152,144,205
205,144,198
146,154,206
146,206,147
147,206,207
147,207,199
199,207,208
199,208,200
200,208,209
200,209,201
201,209,210
201,210,202
202,210,211
202,211,203
203,211,212
203,212,148
148,212,213
148,213,149
149,213,214
155,149,214
204,151,215
151,157,215
158,152,216
216,152,205
154,160,217
154,217,206
206,217,218
206,218,207
214,213,219
214,219,155
155,219,220
161,155,220
163,221,157
157,221,215
164,158,222
222,158,216
158,165,216
216,165,158
159,165,223
159,223,160
160,223,224
160,224,217
161,220,225
161,225,162
162,225,226
166,162,226
163,166,227
163,227,221
166,163,227
163,168,227
170,164,228
164,171,228
164,222,171
171,222,228
165,171,229
165,229,223
223,229,230
223,230,224
226,225,231
