1,2,3
1,4,2
2,4,5
4,6,5
7,8,9
7,10,8
8,10,11
10,12,11
1,3,13
13,3,14
1,13,4
4,13,15
4,15,6
6,15,16
16,17,6
18,9,19
18,20,9
9,20,7
7,20,10
10,20,21
10,21,12
12,21,22
13,14,23
23,14,24
13,23,15
15,23,25
15,25,16
16,25,26
16,26,17
17,26,27
18,19,28
28,19,29
18,28,20
20,28,30
20,30,21
21,30,31
21,31,22
22,31,32
33,24,34
33,35,24
24,35,23
23,35,25
25,35,36
25,36,26
26,36,37
26,37,27
27,37,38
28,29,39
39,29,40
28,39,30
30,39,41
30,41,31
31,41,42
31,42,32
32,42,43
43,44,32
33,34,45
45,34,46
33,45,35
35,45,47
35,47,36
36,47,48
36,48,37
37,48,49
37,49,38
38,49,50
39,40,51
51,40,52
39,51,41
41,51,53
41,53,42
42,53,54
42,54,43
43,54,55
43,55,44
44,55,56
45,46,57
57,46,58
45,57,47
47,57,59
47,59,48
48,59,60
48,60,49
49,60,61
49,61,50
51,52,62
62,52,63
51,62,53
53,62,64
53,64,54
54,64,65
54,65,55
55,65,66
55,66,56
56,66,67
57,58,68
68,58,69
57,68,59
59,68,70
59,70,60
60,70,71
60,71,61
61,71,72
62,63,73
62,73,64
64,73,74
64,74,65
65,74,75
65,75,66
66,75,76
66,76,67
67,76,77
68,69,78
78,69,79
68,78,70
70,78,80
70,80,71
71,80,81
71,81,72
74,73,82
74,82,75
75,82,83
75,83,76
76,83,84
76,84,77
77,84,85
86,79,87
86,88,79
79,88,78
78,88,80
80,88,89
80,89,81
81,89,90
83,82,91
91,82,92
83,91,84
84,91,93
84,93,85
85,93,94
86,87,95
95,87,96
86,95,88
88,95,97
88,97,89
89,97,98
89,98,90
91,92,99
91,99,93
93,99,100
93,100,94
101,94,100
101,102,94
95,96,103
95,103,97
101,100,104
101,104,102
3,2,105
105,2,106
2,5,106
106,5,107
5,6,107
107,6,108
6,109,108
108,109,110
109,111,110
110,111,112
111,113,112
114,115,116
114,117,115
115,117,118
117,9,118
118,9,119
9,8,120
9,120,119
8,11,120
120,11,121
11,12,121
121,12,122
14,105,123
14,3,105
6,17,109
109,17,111
111,17,124
111,124,113
113,124,125
114,116,126
126,116,127
114,126,117
117,126,19
19,9,117
22,128,12
12,128,122
14,123,24
24,123,129
17,27,124
124,27,130
124,130,125
126,127,131
126,131,19
19,131,29
22,32,128
32,132,128
34,24,133
133,24,129
27,38,130
130,38,134
29,131,40
40,131,135
32,44,136
32,136,132
46,34,137
137,34,133
38,50,134
134,50,138
40,135,52
52,135,139
56,140,44
44,140,136
58,46,141
141,46,137
50,61,142
50,142,138
52,139,143
63,52,143
67,144,56
56,144,140
69,141,145
69,58,141
61,72,142
142,72,146
63,143,73
73,143,147
77,148,67
67,148,144
69,145,79
79,145,149
72,81,150
72,150,146
73,147,151
82,73,151
77,85,148
85,152,148
87,79,153
153,79,149
90,154,81
81,154,150
82,151,155
92,82,155
85,94,152
152,94,156
96,87,157
157,87,153
90,98,158
90,158,154
92,155,99
99,155,159
94,102,160
94,160,156
96,157,103
103,157,161
97,103,162
97,162,98
98,162,163
98,163,158
99,159,164
99,164,100
100,164,165
104,100,165
102,104,166
102,166,160
103,161,167
167,161,168
103,167,162
162,167,169
162,169,163
165,164,170
165,170,104
104,170,171
104,171,166
166,171,172
167,168,173
167,173,169
171,170,174
171,174,172
105,175,176
105,106,177
105,177,175
106,107,177
177,107,178
107,108,178
178,108,179
108,110,179
179,110,180
110,112,180
180,112,181
112,113,181
181,113,182
116,115,183
183,115,184
115,118,184
184,118,185
118,119,185
185,119,186
119,120,186
186,120,187
120,121,187
187,121,188
121,122,188
188,122,189
122,190,189
123,105,191
191,105,176
125,192,113
113,192,182
127,116,193
193,116,183
122,128,190
190,128,194
129,123,195
195,123,191
125,130,196
125,196,192
127,193,131
131,193,197
128,132,198
128,198,194
133,129,199
199,129,195
130,134,196
196,134,200
131,197,135
135,197,201
136,202,132
132,202,198
137,133,203
203,133,199
138,204,134
134,204,200
135,201,205
139,135,205
140,206,136
136,206,202
141,203,207
141,137,203
138,142,208
138,208,204
139,205,143
143,205,209
144,210,140
140,210,206
145,141,211
211,141,207
146,212,142
142,212,208
143,209,213
147,143,213
144,148,210
148,214,210
149,145,215
215,145,211
150,216,146
146,216,212
147,213,151
151,213,217
148,152,218
148,218,214
153,149,219
219,149,215
150,154,220
150,220,216
151,217,221
155,151,221
156,222,152
152,222,218
157,153,223
223,153,219
158,224,154
154,224,220
155,221,225
159,155,225
160,226,156
156,226,222
161,157,227
227,157,223
163,228,158
158,228,224
159,225,164
164,225,229
166,230,160
160,230,226
168,227,231
168,161,227
163,169,232
163,232,228
164,229,233
170,164,233
172,234,166
166,234,230
168,231,235
235,231,236
173,168,235
169,173,237
169,237,232
170,233,238
174,170,238
172,174,239
172,239,234
239,240,234
235,236,241
241,236,242
235,241,173
173,241,243
173,243,237
174,238,244
174,244,239
239,244,245
239,245,240
240,245,246
241,242,247
241,247,243
245,244,248
245,248,246
176,175,249
175,177,249
249,177,250
177,178,250
250,178,251
178,179,251
251,179,252
179,180,252
252,180,253
180,181,253
253,181,254
181,182,254
254,182,255
183,184,256
256,184,257
184,185,257
257,185,258
