1,2,3
1,4,2
2,4,5
4,6,5
7,8,9
7,10,8
8,10,11
10,12,11
1,3,13
1,13,4
4,13,14
4,14,6
6,14,15
15,16,6
17,9,18
17,19,9
9,19,7
7,19,10
10,19,20
10,20,12
14,13,21
14,21,15
15,21,22
15,22,16
17,18,23
17,23,19
19,23,24
19,24,20
20,24,25
24,23,26
24,26,25
27,28,29
27,30,28
28,30,31
30,32,31
33,34,35
33,36,34
34,36,37
36,38,37
27,29,39
39,29,40
27,39,30
30,39,2
30,2,32
32,2,5
5,41,32
8,35,42
8,11,35
35,11,33
33,11,36
36,11,43
36,43,38
38,43,44
39,40,3
3,40,45
3,2,39
5,6,41
6,46,41
9,42,47
9,8,42
11,12,43
43,12,44
44,12,48
3,45,49
13,3,49
6,16,50
6,50,46
18,9,51
51,9,47
12,20,52
12,52,48
13,49,53
53,49,54
21,13,53
16,22,55
16,55,50
55,56,50
57,51,58
18,51,23
23,51,57
20,25,52
52,25,59
53,54,60
53,60,21
21,60,61
21,61,22
22,61,62
22,62,55
55,62,63
55,63,56
56,63,64
57,58,65
65,58,66
57,65,23
23,65,67
26,23,67
26,67,68
26,68,25
25,68,69
25,69,59
63,62,70
63,70,64
65,66,71
65,71,67
72,73,74
72,28,73
73,28,75
28,76,75
34,77,78
34,37,77
77,37,79
37,80,79
79,80,81
80,82,81
72,74,29
29,74,83
29,28,72
28,31,76
31,32,76
76,32,84
32,85,84
35,78,86
35,34,78
37,38,80
80,38,82
82,38,87
29,83,40
40,83,88
32,41,85
41,89,85
42,86,90
42,35,86
38,44,87
87,44,91
40,88,92
45,40,92
41,46,89
46,93,89
47,90,94
47,42,90
48,95,44
44,95,91
45,92,49
49,92,96
46,50,93
93,50,97
47,94,51
51,94,98
48,52,99
48,99,95
49,96,54
54,96,100
50,56,101
50,101,97
58,51,102
102,51,98
52,59,99
99,59,103
54,100,104
104,100,105
60,54,104
56,64,101
64,106,101
66,102,106
66,58,102
59,69,107
59,107,103
103,107,108
104,105,109
104,109,60
60,109,110
60,110,61
61,110,111
61,111,62
62,111,112
70,62,112
64,70,113
64,113,106
106,113,114
66,106,115
115,106,114
71,66,115
67,71,116
67,116,68
68,116,117
68,117,69
69,117,118
69,118,107
107,118,119
107,119,108
112,111,120
112,120,70
70,120,121
70,121,113
113,121,122
113,122,114
114,122,123
115,114,124
124,114,123
115,124,71
71,124,125
71,125,116
116,125,126
116,126,117
122,121,127
127,121,128
122,127,123
123,127,129
124,123,130
130,123,129
124,130,125
125,130,131
127,128,132
132,128,133
127,132,129
129,132,134
134,135,129
129,135,130
130,135,131
131,135,136
132,133,137
132,137,134
134,137,138
134,138,135
135,138,139
135,139,136
74,73,140
73,75,140
140,75,141
75,76,141
141,76,142
76,84,142
142,84,143
84,144,143
78,145,146
78,77,147
78,147,145
77,79,147
147,79,148
79,81,148
148,81,149
81,82,149
83,74,150
150,74,140
84,85,144
85,151,144
86,146,152
86,78,146
87,153,82
82,153,149
88,83,154
154,83,150
85,89,151
89,155,151
90,152,156
90,86,152
91,157,87
87,157,153
88,154,92
92,154,158
89,93,159
89,159,155
94,90,160
160,90,156
91,95,161
91,161,157
92,158,96
96,158,162
93,97,159
97,163,159
98,160,163
98,94,160
95,99,161
161,99,164
96,162,100
100,162,165
97,101,163
163,101,166
98,163,102
102,163,166
99,103,164
164,103,167
100,165,105
105,165,168
101,106,169
101,169,166
106,102,169
169,102,166
103,108,167
167,108,170
105,168,171
171,168,172
109,105,171
114,173,106
106,173,169
114,106,173
173,106,169
108,119,174
108,174,170
170,174,175
171,172,176
171,176,109
109,176,177
109,177,110
110,177,178
110,178,111
111,178,179
120,111,179
114,123,173
123,114,173
117,126,180
117,180,118
118,180,181
118,181,119
119,181,182
119,182,174
174,182,183
174,183,175
178,177,184
178,184,179
179,184,185
179,185,120
120,185,186
120,186,121
121,186,128
125,131,126
126,131,187
126,187,180
180,187,188
180,188,181
181,188,189
181,189,182
185,184,190
190,184,191
185,190,186
186,190,192
186,192,128
128,192,133
131,136,187
187,136,193
187,193,188
188,193,194
188,194,189
189,194,195
190,191,196
196,191,197
190,196,192
192,196,198
192,198,133
133,198,199
137,133,199
136,139,200
136,200,193
193,200,201
193,201,194
194,201,202
194,202,195
195,202,203
196,197,204
204,197,205
196,204,198
198,204,206
198,206,199
199,206,207
199,207,137
137,207,208
137,208,138
138,208,209
138,209,139
139,209,210
139,210,200
200,210,211
200,211,201
201,211,212
201,212,202
202,212,213
202,213,203
203,213,214
204,205,215
215,205,216
204,215,206
206,215,217
206,217,207
207,217,218
207,218,208
208,218,219
208,219,209
209,219,220
209,220,210
210,220,221
210,221,211
211,221,222
211,222,212
212,222,223
212,223,213
213,223,224
213,224,214
214,224,225
215,216,226
215,226,217
217,226,227
217,227,218
218,227,228
218,228,219
219,228,229
219,229,220
220,229,230
220,230,221
221,230,231
221,231,222
222,231,232
222,232,223
223,232,233
223,233,224
224,233,234
224,234,225
227,226,235
235,226,236
227,235,228
228,235,237
228,237,229
229,237,238
229,238,230
230,238,239
230,239,231
231,239,240
231,240,232
232,240,241
232,241,233
233,241,242
233,242,234
234,242,243
235,236,244
235,244,237
237,244,245
237,245,238
238,245,246
238,246,239
239,246,247
